
COMMAND ::  3 |  1.55275e-06 , -1.57462e-06 | 9.35091e-10 , 20 | 194 , 337 | 1
COMMAND ::  3 |  0 , 0 | 7.02662e-09 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 2.22337e-08 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 4.93135e-08 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 8.99355e-08 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.44796e-07 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 2.13733e-07 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 2.9584e-07 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 3.89582e-07 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 4.92906e-07 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 6.03362e-07 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 7.18211e-07 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 8.34543e-07 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 9.49392e-07 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.05985e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.16317e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.25691e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.33902e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.40796e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.46282e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.50344e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.53052e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.54573e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.55182e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.55182e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.55182e-06 , 20 | 336 , 193 | 0
COMMAND ::  3 |  0 , 0 | 1.55182e-06 , 20 | 336 , 193 | 0
